Symbol,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,expr,expr,expr,expr,expr,expr,expr,expr,expr,expr,expr,expr,expr,expr,expr,expr,expr,expr
0610007H07Rik,11.184,11.241,11.267,11.17,11.235,11.254,11.108,11.15,11.142,11.159,11.25,11.074,11.181,10.999,11.116,11.284,11.177,11.412,11.385,11.287,11.12,11.385,11.292,11.212,11.27,11.166,11.159,11.237,11.23,11.192,11.241,11.111,11.45,11.364,11.205
0610007P08Rik,6.974,6.906,6.826,6.883,6.969,7.057,6.915,7.048,7.149,6.98,7.022,7.044,6.858,7.143,6.965,6.965,6.987,6.918,6.992,6.939,7.082,7.019,6.894,7.034,6.922,6.985,7.046,7.028,6.952,6.991,6.946,6.9,7.008,7.037,7.041
0610007P14Rik,9.916,9.903,9.951,9.858,9.618,9.75,9.763,10.011,9.697,9.929,9.722,9.787,9.878,9.865,9.666,9.757,9.835,9.951,9.707,9.69,9.599,9.774,9.537,9.672,9.46,10.082,9.748,9.758,9.564,9.495,9.893,9.601,9.623,9.406,9.704
0610009F02Rik,8.429,8.665,8.277,8.376,8.544,8.862,8.379,8.211,8.369,8.343,8.463,8.315,8.333,8.185,8.167,8.584,8.125,8.336,8.601,8.365,8.361,8.398,8.297,8.2,8.289,8.576,8.236,7.996,8.349,8.161,8.205,8.459,8.347,8.379,8.758
0610009K11Rik,7.042,7.28,7.203,7.138,6.927,6.97,7.0,7.016,6.894,7.631,7.016,6.942,7.44,7.366,6.926,7.478,7.084,7.079,6.976,7.24,7.388,7.289,6.946,7.132,7.192,6.914,6.982,7.388,7.053,7.571,7.493,6.943,7.081,6.943,7.53
0610010D20Rik,7.018,6.847,6.847,7.028,6.964,6.905,6.958,6.961,6.995,6.943,6.902,6.975,6.869,6.852,6.923,6.914,6.96,6.894,6.968,6.851,6.932,6.864,6.921,6.862,6.882,6.875,6.889,6.898,7.048,6.906,6.852,6.857,6.88,6.873,6.848
0610011L14Rik,6.982,6.996,6.988,6.836,6.906,6.991,6.917,6.932,7.036,6.958,7.082,7.003,6.977,7.087,6.892,6.953,6.905,6.934,6.859,6.869,6.968,6.885,6.853,6.969,6.991,7.013,7.081,6.899,6.918,7.013,6.966,6.935,6.951,6.959,7.026
0610011N22Rik,9.499,9.423,9.383,9.502,9.378,9.446,9.616,9.362,9.519,9.474,9.469,9.325,9.498,9.533,9.512,9.682,9.536,9.492,9.559,9.51,9.495,9.385,9.419,9.531,9.407,9.548,9.439,9.418,9.438,9.453,9.423,9.531,9.398,9.602,9.516
0610012D14Rik,7.599,7.391,7.709,7.502,7.242,7.356,7.356,7.798,7.927,7.6,7.549,7.603,7.2,7.608,7.497,7.135,7.504,7.484,7.748,7.307,7.307,7.13,7.965,7.653,7.536,7.341,7.909,7.694,7.446,7.977,7.552,7.791,7.319,7.184,7.144
0610012H03Rik,7.045,7.009,6.831,7.062,7.002,6.975,6.919,6.945,6.946,7.029,7.135,7.063,6.947,7.021,7.016,6.907,6.951,6.939,6.911,7.062,6.982,6.949,6.935,6.963,6.864,7.09,6.963,7.034,6.857,6.946,6.938,6.88,6.888,6.942,6.954
0610025L06Rik,7.733,7.911,8.044,7.964,7.802,7.432,8.011,8.016,8.003,7.753,8.036,7.616,7.891,7.911,8.022,7.739,7.87,7.798,7.672,7.902,8.049,7.842,7.926,7.64,7.699,7.67,7.904,7.723,7.991,7.666,7.568,7.804,7.404,7.698,7.147
0610025O11Rik,6.776,6.769,6.765,6.786,6.884,6.741,6.815,6.812,6.792,6.779,6.87,6.821,6.806,6.761,6.744,6.811,6.761,6.785,6.817,6.776,6.819,6.753,6.69,6.766,6.772,6.756,6.749,6.791,6.801,6.843,6.77,6.789,6.833,6.801,6.73
0610027B03Rik,6.788,6.965,6.826,6.846,6.897,6.813,6.906,6.933,6.783,6.956,6.876,6.88,6.891,6.901,6.792,6.939,6.925,6.828,6.805,6.81,6.817,6.793,6.783,6.903,6.893,6.802,6.908,6.793,6.877,6.881,6.914,6.969,6.942,6.815,6.904
0610030H11Rik,7.38,7.43,7.514,7.529,7.567,7.411,7.561,7.444,7.516,7.479,7.616,7.307,7.387,7.432,7.5,7.417,7.351,7.562,7.485,7.613,7.487,7.55,7.615,7.668,7.701,7.304,7.581,7.445,7.407,7.563,7.581,7.533,7.449,7.508,7.451
0610037D15Rik,6.937,7.063,7.115,6.901,7.071,7.161,7.112,7.057,7.169,6.898,6.993,6.949,7.063,6.939,6.854,7.11,7.091,7.09,7.054,6.993,6.949,7.016,6.898,6.949,6.941,7.006,6.953,6.918,6.975,7.063,7.094,6.975,7.058,7.036,6.881
0610038K03Rik,6.876,6.988,7.102,6.961,6.97,6.917,7.013,7.027,6.951,7.018,6.883,7.038,6.899,6.957,7.017,6.95,6.99,7.033,6.947,6.955,6.903,6.926,6.884,6.979,6.859,6.917,6.927,6.982,6.952,6.947,6.934,6.888,7.015,6.943,6.903
0610039D01Rik,10.693,10.908,10.85,10.589,10.658,11.037,10.715,10.806,10.677,10.849,10.869,10.276,10.68,10.561,10.407,10.703,10.487,10.95,10.878,10.668,10.574,10.987,10.583,10.793,10.773,10.796,10.618,10.683,10.533,10.48,10.748,10.473,10.775,10.72,10.512
0610040J01Rik,7.115,7.241,7.268,7.239,7.133,7.225,7.207,7.353,7.36,7.213,7.375,7.359,7.243,7.145,7.35,7.171,7.211,7.21,7.224,7.11,7.234,7.212,7.157,7.23,7.09,7.274,7.212,7.222,7.15,7.154,7.096,7.256,7.304,7.203,7.116
0610042E07Rik,7.14,6.938,7.102,7.02,7.057,6.981,7.019,6.93,6.866,6.875,6.987,6.914,6.955,6.909,6.913,6.944,7.079,7.007,6.917,7.12,7.066,6.965,6.939,6.937,7.031,6.935,7.048,6.97,6.957,6.841,6.958,6.863,6.975,6.812,7.027
0710001E13Rik,11.452,11.285,11.275,11.289,11.485,12.153,11.723,11.357,11.687,11.309,11.778,11.723,11.342,11.262,11.516,11.971,11.203,11.289,11.976,11.555,11.295,11.508,11.741,10.886,11.927,11.694,11.4,10.882,11.946,11.502,11.54,11.948,11.817,11.667,12.669
0710005M24Rik,11.374,11.15,11.282,11.466,11.499,10.749,11.593,11.458,11.698,11.108,11.054,11.2,10.992,11.305,11.185,11.27,11.269,11.295,11.38,11.419,11.694,11.162,11.492,11.361,11.387,11.084,11.442,11.344,11.253,11.543,11.267,11.466,11.49,11.066,10.655
0910001A06Rik,9.895,9.435,9.559,9.776,9.769,9.487,9.713,9.869,9.753,9.79,9.28,9.737,9.541,9.769,9.855,9.723,9.637,9.762,9.76,9.802,9.831,9.576,9.817,9.741,9.855,9.663,9.507,9.736,9.576,9.776,9.859,9.779,9.971,9.98,9.883
1100001A21Rik,7.182,7.363,7.25,7.38,7.161,7.204,7.315,7.168,7.154,7.392,7.249,7.516,7.241,7.261,7.181,7.238,7.584,7.335,7.308,7.272,7.066,7.206,7.301,7.154,7.257,7.125,7.266,7.204,7.357,7.123,7.422,7.234,7.107,7.449,7.358
1110001A12Rik,6.817,6.841,6.812,6.88,6.818,6.912,6.945,6.807,6.809,6.895,6.879,6.92,6.832,6.818,6.921,6.893,6.835,6.918,6.878,6.9,6.865,6.938,6.875,6.78,6.797,6.98,6.929,6.899,6.914,6.826,6.845,6.873,6.781,6.817,6.926
1110002H13Rik,6.874,6.85,6.923,6.913,6.851,6.924,6.953,6.846,6.887,6.944,6.857,6.878,6.957,6.882,6.889,6.968,6.825,6.88,6.967,6.864,6.873,6.894,6.929,6.951,6.932,6.896,6.909,6.845,6.768,6.817,6.892,6.9,6.884,6.789,6.856
1110004B13Rik,8.809,8.828,8.974,8.878,8.939,8.473,8.831,8.708,8.656,8.656,9.093,8.699,8.578,8.764,8.564,9.08,8.899,8.716,8.64,8.514,8.42,8.946,8.565,8.444,8.466,8.234,8.685,8.609,8.623,8.16,8.815,8.803,8.441,8.822,8.011
1110004E09Rik,6.955,6.997,6.985,6.881,6.961,7.002,6.93,6.892,7.003,6.941,6.9,6.918,7.012,7.085,6.978,6.993,7.158,6.96,6.936,6.955,6.954,6.902,6.946,7.022,6.974,6.966,7.022,6.96,6.986,6.94,7.079,7.011,6.928,6.992,6.986
1110005A23Rik,6.864,7.025,6.81,6.862,6.84,6.819,6.835,6.74,6.806,6.832,6.802,6.769,6.803,6.81,6.845,6.69,6.779,6.875,6.805,6.905,6.807,6.926,6.8,6.837,6.758,6.848,6.743,6.817,6.868,6.823,6.905,6.868,6.738,6.783,6.838
1110006G06Rik,7.69,7.715,7.664,7.854,7.5,7.622,7.775,7.763,7.76,7.892,7.681,7.783,7.698,7.763,7.809,7.613,7.703,7.805,7.627,7.71,7.646,7.592,7.584,7.747,7.702,7.678,7.496,7.773,7.6,7.654,7.62,7.726,7.726,7.688,7.755
1110007A06Rik,6.936,7.044,7.124,7.002,7.138,6.987,6.921,7.089,7.082,7.036,6.979,6.962,7.088,6.979,6.988,7.038,7.025,7.04,7.036,6.971,7.023,7.065,7.158,7.059,7.043,7.047,6.982,6.975,6.987,7.008,6.915,7.023,7.038,6.98,7.062
1110007C09Rik,7.017,7.072,6.961,6.936,6.828,6.964,6.95,7.003,6.918,6.889,6.874,6.967,7.001,6.976,6.969,6.897,6.953,6.882,6.983,7.159,6.855,6.951,6.975,7.012,6.997,6.864,7.03,6.907,6.955,7.03,6.992,6.866,6.988,6.888,6.963
1110007F12Rik,6.822,6.67,6.809,6.95,6.813,6.818,6.888,6.85,6.898,6.91,6.846,6.796,6.937,6.922,6.895,6.857,6.884,6.811,6.806,6.879,6.846,6.921,6.786,6.84,6.756,6.817,6.756,6.871,6.845,6.803,6.821,6.806,6.814,6.836,6.775
1110008K04Rik,6.755,6.86,6.808,6.753,6.802,6.763,6.721,6.778,6.799,6.802,6.807,6.779,6.6,6.772,6.801,6.701,6.819,6.793,6.895,6.769,6.794,6.796,6.725,6.726,6.801,6.845,6.816,6.797,6.895,6.751,6.76,6.849,6.752,6.741,6.87
1110008P14Rik,11.904,12.133,11.605,11.481,11.342,12.113,11.416,11.502,11.485,11.81,11.423,11.566,11.875,11.626,11.325,11.626,11.416,11.492,11.222,11.462,11.267,11.392,11.251,11.366,11.207,11.349,11.202,11.316,11.317,11.215,11.723,11.28,11.836,11.309,11.477
